code,label,parent
courier_and_delivery_service,Courier And Delivery Service,shipping_or_delivery_service
nursery_and_gardening_store,Nursery And Gardening Store,hardware_home_and_garden_store
antique_store,Antique Store,second_hand_store
seafood_restaurant,Seafood Restaurant,restaurant
skin_care_and_makeup,Skin Care And Makeup,personal_or_beauty_service
travel_and_transportation,Travel And Transportation,
auto_insurance,Auto Insurance,insurance_agency
shipping_center,Shipping Center,shipping_or_delivery_service
yoga_studio,Yoga Studio,fitness_studio
information_technology_company,Information Technology Company,corporate_or_business_office
storage_facility,Storage Facility,services_and_business
donut_shop,Donut Shop,dessert_shop
funeral_service,Funeral Service,family_service
fitness_trainer,Fitness Trainer,sport_or_fitness_facility
internal_medicine,Internal Medicine,specialized_health_care
hiking_trail,Hiking Trail,recreational_trail_or_path
interior_design,Interior Design,home_service
family_practice,Family Practice,primary_care_or_general_clinic
bank,Bank,bank_or_credit_union
education,Education,
freight_and_cargo_service,Freight And Cargo Service,b2b_transportation_and_storage_service
painting,Painting,home_service
psychology,Psychology,psychiatry_or_psychology_service
automotive_service,Automotive Service,vehicle_service
beauty_supply_store,Beauty Supply Store,personal_care_and_beauty_store
high_school,High School,school
metal_fabricator,Metal Fabricator,manufacturer
b2b_business_management_service,B2b Business Management Service,b2b_office_and_professional_service
laundromat,Laundromat,laundry_service
arts_crafts_and_hobby_store,Arts Crafts And Hobby Store,specialty_store
event_photography_service,Event Photography Service,photography_service
nursing,Nursing,specialized_health_care
roman_catholic_place_of_worship,Roman Catholic Place Of Worship,christian_place_of_worship
sport_or_fitness_facility,Sport Or Fitness Facility,sports_and_recreation
car_rental_service,Car Rental Service,vehicle_rental_service
fashion_boutique,Fashion Boutique,fashion_and_apparel_store
carpet_store,Carpet Store,hardware_home_and_garden_store
neurology,Neurology,specialized_health_care
department_store,Department Store,shopping
garbage_collection_service,Garbage Collection Service,public_utility
smoothie_juice_bar,Smoothie Juice Bar,non_alcoholic_beverage_venue
farmers_market,Farmers Market,market
surgery,Surgery,specialized_medical_facility
laboratory_testing,Laboratory Testing,diagnostics_imaging_or_lab_service
rental_service,Rental Service,services_and_business
baptist_place_of_worship,Baptist Place Of Worship,protestant_place_of_worship
breakfast_and_brunch_restaurant,Breakfast And Brunch Restaurant,restaurant
parking,Parking,travel_and_transportation
towing_service,Towing Service,automotive_service
tree_service,Tree Service,landscaping
day_spa,Day Spa,spa
apartment,Apartment,housing_or_property_service
campground,Campground,lodging
sports_bar,Sports Bar,bar
pest_control_service,Pest Control Service,home_service
youth_organization,Youth Organization,social_or_community_service
animal_or_pet_service,Animal Or Pet Service,lifestyle_services
sushi_restaurant,Sushi Restaurant,japanese_restaurant
engineering_service,Engineering Service,building_or_construction_service
b2b_service,B2b Service,services_and_business
barbecue_restaurant,Barbecue Restaurant,meat_restaurant
rental_kiosk,Rental Kiosk,rental_service
appliance_store,Appliance Store,hardware_home_and_garden_store
vitamin_and_supplement_store,Vitamin And Supplement Store,food_and_beverage_store
orthopedics,Orthopedics,musculoskeletal_medicine
dry_cleaning,Dry Cleaning,laundry_service
florist,Florist,flowers_and_gifts_store
police_station,Police Station,public_safety_service
caterer,Caterer,event_or_party_service
tax_service,Tax Service,financial_service
lounge,Lounge,alcoholic_beverage_venue
japanese_restaurant,Japanese Restaurant,east_asian_restaurant
psychotherapy,Psychotherapy,psychiatry_or_psychology_service
pub,Pub,bar
river,River,water_feature
skate_park,Skate Park,sport_or_fitness_facility
psychiatry,Psychiatry,psychiatry_or_psychology_service
community_center,Community Center,social_or_community_service
chicken_restaurant,Chicken Restaurant,meat_restaurant
package_locker,Package Locker,storage_facility
middle_school,Middle School,school
steakhouse,Steakhouse,meat_restaurant
diner,Diner,casual_eatery
podiatry,Podiatry,musculoskeletal_medicine
eyewear_store,Eyewear Store,fashion_and_apparel_store
credit_union,Credit Union,bank_or_credit_union
thai_restaurant,Thai Restaurant,southeast_asian_restaurant
orthodontics,Orthodontics,dental_clinic
